Player,Team,Pos,Injury,Status,Est. Return
Bryce Harper,PHI,1B,Wrist,10-Day IL,Subscribers Only
Michael Harris,ATL,OF,Elbow,Day-To-Day,Subscribers Only
Hunter Harvey,KC,P,Shoulder,60-Day IL,Subscribers Only
Austin Hays,CIN,OF,Foot,10-Day IL,Subscribers Only
Ben Heller,CHC,P,Undisclosed,60-Day IL,Subscribers Only
Liam Hendriks,BOS,P,Hip,15-Day IL,Subscribers Only
Edgardo Henriquez,LAD,P,Foot,60-Day IL,Subscribers Only
Tommy Henry,ARI,P,Elbow,7-Day IL,Subscribers Only
Sam Hentges,CLE,P,Shoulder,60-Day IL,Subscribers Only
Raylin Heredia,PHI,OF,Undisclosed,7-Day IL,Subscribers Only
Jonathan Hernandez,TB,P,Undisclosed,60-Day IL,Subscribers Only
Daysbel Hernandez,ATL,P,Forearm,15-Day IL,Subscribers Only
Ivan Herrera,STL,C,Hamstring,10-Day IL,Subscribers Only
Yujanyer Herrera,COL,P,Elbow,60-Day IL,Subscribers Only
Cole Hertzler,HOU,P,Undisclosed,7-Day IL,Subscribers Only
DJ Herz,WSH,P,Elbow,60-Day IL,Subscribers Only
Jason Heyward,FA,OF,Oblique,Day-To-Day,Subscribers Only
Jordan Hicks,BOS,P,Toe,15-Day IL,Subscribers Only
James Hicks,HOU,P,Undisclosed,60-Day IL,Subscribers Only
Derek Hill,MIA,OF,Wrist,10-Day IL,Subscribers Only
Cooper Hjerpe,STL,P,Elbow,60-Day IL,Subscribers Only
Gunnar Hoglund,ATH,P,Hip,60-Day IL,Subscribers Only
Colin Holderman,PIT,P,Thumb,15-Day IL,Subscribers Only
Brian Holiday,STL,P,Undisclosed,60-Day IL,Subscribers Only
Hunter Hollan,CIN,P,Undisclosed,60-Day IL,Subscribers Only
Grant Holman,ATH,P,Shoulder,15-Day IL,Subscribers Only
Luke Holman,CIN,P,Undisclosed,60-Day IL,Subscribers Only
Carter Holton,ATL,P,Elbow,60-Day IL,Subscribers Only
Bennett Hostetler,MIA,C,Undisclosed,7-Day IL,Subscribers Only
Tanner Houck,BOS,P,Elbow,15-Day IL,Subscribers Only
Wyatt Hudepohl,NYM,P,Undisclosed,60-Day IL,Subscribers Only
Thatcher Hurd,NYY,P,Elbow,60-Day IL,Subscribers Only
